time_s,altitude_ft,temperature,voltage
0,22,76.7F,7.9
0.05,33,76.7F,7.9
0.1,33,76.7F,7.9
0.15,35,76.7F,7.9
0.2,27,76.7F,7.9
0.25,29,76.7F,7.9
0.3,18,76.7F,7.9
0.35,12,76.7F,7.9
0.4,13,76.7F,7.9
0.45,4,76.7F,7.9
0.5,-15,76.7F,7.9
0.55,-37,76.7F,7.9
0.6,-45,76.7F,7.9
0.65,-54,76.7F,7.9
0.7,-51,76.7F,7.9
0.75,-62,76.7F,7.9
0.8,-85,76.7F,7.9
0.85,-115,76.6F,7.9
0.9,-148,76.6F,7.9
0.95,-156,76.6F,7.9
1,-155,76.6F,7.9
1.05,-143,76.6F,7.9
1.1,-135,76.6F,7.9
1.15,-76,76.6F,7.9
1.2,-63,76.6F,7.9
1.25,-20,76.6F,7.9
1.3,56,76.6F,7.9
1.35,127,76.6F,7.9
1.4,194,76.6F,7.9
1.45,253,76.6F,7.9
1.5,328,76.6F,7.9
1.55,373,76.6F,7.9
1.6,426,76.6F,7.9
1.65,491,76.7F,7.9
1.7,560,76.7F,7.9
1.75,617,76.7F,7.9
1.8,662,76.7F,7.9
1.85,725,76.7F,7.9
1.9,785,76.7F,7.9
1.95,836,76.7F,7.9
2,893,76.7F,7.9
2.05,937,76.7F,7.9
2.1,1001,76.7F,7.9
2.15,1059,76.7F,7.9
2.2,1116,76.7F,7.9
2.25,1172,76.7F,7.9
2.3,1216,76.7F,7.9
2.35,1270,76.7F,7.9
2.4,1327,76.7F,7.9
2.45,1377,76.7F,7.9
2.5,1431,76.7F,7.9
2.55,1484,76.7F,7.9
2.6,1532,76.7F,7.9
2.65,1588,76.7F,7.9
2.7,1637,76.7F,7.9
2.75,1685,76.7F,7.9
2.8,1743,76.7F,7.9
2.85,1786,76.7F,7.9
2.9,1835,76.7F,7.9
2.95,1883,76.7F,7.9
3,1937,76.7F,7.9
3.05,1982,76.7F,7.9
3.1,2032,76.7F,7.9
3.15,2081,76.7F,7.9
3.2,2127,76.7F,7.9
3.25,2173,76.7F,7.9
3.3,2223,76.7F,7.9
3.35,2270,76.7F,7.9
3.4,2311,76.7F,7.9
3.45,2364,76.7F,7.9
3.5,2406,76.7F,7.9
3.55,2457,76.7F,7.9
3.6,2503,76.7F,7.9
3.65,2539,76.7F,7.9
3.7,2591,76.7F,7.9
3.75,2640,76.7F,7.9
3.8,2677,76.7F,7.9
3.85,2733,76.7F,7.9
3.9,2769,76.7F,7.9
3.95,2811,76.7F,7.9
4,2852,76.7F,7.9
4.05,2904,76.7F,7.9
4.1,2949,76.7F,7.9
4.15,2993,76.7F,7.9
4.2,3032,76.7F,7.9
4.25,3071,76.7F,7.9
4.3,3112,76.7F,7.9
4.35,3159,76.7F,7.9
4.4,3202,76.7F,7.9
4.45,3243,76.7F,7.9
4.5,3293,76.7F,7.9
4.55,3327,76.7F,7.9
4.6,3361,76.7F,7.9
4.65,3401,76.6F,7.9
4.7,3440,76.6F,7.9
4.75,3478,76.6F,7.9
4.8,3520,76.6F,7.9
4.85,3566,76.6F,7.9
4.9,3603,76.6F,7.9
4.95,3642,76.6F,7.9
5,3679,76.6F,7.9
5.05,3718,76.6F,7.9
5.1,3603,76.6F,7.9
5.15,3413,76.6F,7.9
5.2,3305,76.6F,7.9
5.25,3227,76.6F,7.9
5.3,3250,76.6F,7.9
5.35,3282,76.6F,7.9
5.4,3327,76.6F,7.9
5.45,3380,76.6F,7.9
5.5,3426,76.6F,7.9
5.55,3465,76.6F,7.9
5.6,3508,76.6F,7.9
5.65,3555,76.6F,7.9
5.7,3589,76.6F,7.9
5.75,3649,76.6F,7.9
5.8,3686,76.6F,7.9
5.85,3737,76.6F,7.9
5.9,3771,76.6F,7.9
5.95,3812,76.6F,7.9
6,3852,76.6F,7.9
6.05,3896,76.6F,7.9
6.1,3942,76.6F,7.9
6.15,3986,76.6F,7.9
6.2,4022,76.6F,7.9
6.25,4069,76.6F,7.9
6.3,4094,76.6F,7.9
6.35,4133,76.6F,7.9
6.4,4173,76.6F,7.9
6.45,4206,76.6F,7.9
6.5,4256,76.6F,7.9
6.55,4310,76.6F,7.9
6.6,4348,76.6F,7.9
6.65,4379,76.6F,7.9
6.7,4413,76.6F,7.9
6.75,4449,76.6F,7.9
6.8,4473,76.6F,7.9
6.85,4508,76.6F,7.9
6.9,4547,76.6F,7.9
6.95,4597,76.6F,7.9
7,4636,76.6F,7.9
7.05,4667,76.6F,7.9
7.1,4700,76.6F,7.9
7.15,4740,76.6F,7.9
7.2,4768,76.6F,7.9
7.25,4803,76.6F,7.9
7.3,4846,76.6F,7.9
7.35,4880,76.6F,7.9
7.4,4913,76.6F,7.9
7.45,4951,76.6F,7.9
